auction_id,bidder_id,organization_type,budget_million_usd,priority_level,urgency_score,mission_type,technical_readiness,payload_mass_kg,time_sensitivity_days,strategic_importance,risk_factor,previous_launches,reliability_score,auction_date,launch_window_date,n_competitors,composite_score,is_winner,rank,budget_per_kg,urgency_time_ratio,readiness_reliability,priority_numeric,org_type_numeric
0,BID_0_0,Research,7.49,High,4,Scientific Research,10,939,180,9,2,37,0.997,2026-02-13,2026-03-27,2,0.6303411405295316,1,1.0,7976.570820021299,0.022222222222222223,0.997,3,2
0,BID_0_1,Commercial,19.64,Low,1,Communications,6,4239,161,1,9,12,0.835,2026-02-13,2026-03-27,2,0.42000000000000004,0,2.0,4633.168200047181,0.006211180124223602,0.501,1,1
1,BID_1_0,Military,24.68,Medium,8,Satellite Deployment,6,3562,94,7,4,48,1.0,2026-05-24,2026-07-27,5,0.7015196998123828,1,1.0,6928.691746209995,0.0851063829787234,0.6,2,5
1,BID_1_1,Commercial,6.16,Medium,4,ISS Resupply,7,2917,161,5,1,46,1.0,2026-05-24,2026-07-27,5,0.45278611632270166,0,4.0,2111.7586561535823,0.024844720496894408,0.7,2,1
1,BID_1_2,Commercial,17.02,Medium,4,ISS Resupply,9,2501,167,10,6,36,0.918,2026-05-24,2026-07-27,5,0.5996622889305817,0,3.0,6805.277888844462,0.023952095808383235,0.8262,2,1
1,BID_1_3,Commercial,5.41,High,1,Communications,7,753,66,2,7,17,0.806,2026-05-24,2026-07-27,5,0.400750469043152,0,5.0,7184.594953519257,0.015151515151515152,0.5642,3,1
1,BID_1_4,Government,26.65,Medium,6,GPS,7,1816,178,6,10,40,0.951,2026-05-24,2026-07-27,5,0.6499999999999999,0,2.0,14675.11013215859,0.033707865168539325,0.6657,2,3
2,BID_2_0,Emergency,18.64,Critical,9,Defense,6,2756,21,6,6,25,0.83,2026-04-25,2026-06-30,3,0.7503861219921657,0,2.0,6763.425253991291,0.42857142857142855,0.49799999999999994,4,4
2,BID_2_1,Research,5.2,Medium,7,GPS,6,4189,108,8,3,16,0.702,2026-04-25,2026-06-30,3,0.5013738108561836,0,3.0,1241.346383385056,0.06481481481481481,0.42119999999999996,2,2
2,BID_2_2,Military,35.74,High,10,Weather Monitoring,10,4888,116,9,6,14,0.939,2026-04-25,2026-06-30,3,0.885,1,1.0,7311.783960720131,0.08620689655172414,0.939,3,5
3,BID_3_0,Commercial,10.82,Medium,1,ISS Resupply,6,1410,115,10,2,24,0.854,2026-10-19,2026-12-28,3,0.5220517144463183,0,2.0,7673.758865248227,0.008695652173913044,0.5124,2,1
3,BID_3_1,Emergency,17.79,Critical,10,Weather Monitoring,9,194,36,8,6,7,0.658,2026-10-19,2026-12-28,3,0.94,1,1.0,91701.03092783505,0.2777777777777778,0.5922000000000001,4,4
3,BID_3_2,Research,6.51,Medium,6,Satellite Deployment,10,2257,135,3,9,6,0.821,2026-10-19,2026-12-28,3,0.49648397976391234,0,3.0,2884.3597696056713,0.044444444444444446,0.821,2,2
4,BID_4_0,Military,33.68,High,7,Scientific Research,7,1423,145,6,10,20,0.847,2026-12-25,2027-03-06,4,0.7449999999999999,0,2.0,23668.306394940268,0.04827586206896552,0.5929,3,5
4,BID_4_1,Commercial,8.99,Low,3,Weather Monitoring,6,574,68,10,2,5,0.77,2026-12-25,2027-03-06,4,0.4017309976247031,0,4.0,15662.020905923346,0.04411764705882353,0.46199999999999997,1,1
4,BID_4_2,Commercial,16.85,Low,5,Scientific Research,6,3993,147,3,5,33,1.0,2026-12-25,2027-03-06,4,0.4150742280285036,0,3.0,4219.8847983971955,0.034013605442176874,0.6,1,1
4,BID_4_3,Emergency,27.15,Critical,8,Defense,10,1747,86,8,8,33,0.965,2026-12-25,2027-03-06,4,0.8515290973871734,1,1.0,15540.927303949627,0.09302325581395349,0.965,4,4
5,BID_5_0,Government,13.41,Low,5,Technology Demonstration,9,1985,157,6,2,45,1.0,2026-05-27,2026-06-11,3,0.44076271186440685,0,3.0,6755.667506297229,0.03184713375796178,0.9,1,3
5,BID_5_1,Research,14.39,High,3,Satellite Deployment,7,680,138,4,5,42,1.0,2026-05-27,2026-06-11,3,0.5012994350282486,0,2.0,21161.764705882353,0.021739130434782608,0.7,3,2
5,BID_5_2,Military,44.25,High,7,Technology Demonstration,9,3972,69,9,4,6,0.589,2026-05-27,2026-06-11,3,0.825,1,1.0,11140.4833836858,0.10144927536231885,0.5301,3,5
6,BID_6_0,Emergency,16.95,Critical,9,Satellite Deployment,10,906,22,8,2,15,0.707,2026-08-01,2026-10-01,5,0.8045521835677276,0,2.0,18708.60927152318,0.4090909090909091,0.707,4,4
6,BID_6_1,Military,40.53,High,9,Scientific Research,8,1603,78,7,2,28,1.0,2026-08-01,2026-10-01,5,0.8450000000000001,1,1.0,25283.842794759825,0.11538461538461539,0.8,3,5
6,BID_6_2,Military,23.66,High,6,Satellite Deployment,10,4528,10,7,3,26,0.906,2026-08-01,2026-10-01,5,0.6959412780656303,0,3.0,5225.265017667844,0.6,0.906,3,5
6,BID_6_3,Research,3.41,High,6,Satellite Deployment,6,3204,7,7,5,50,1.0,2026-08-01,2026-10-01,5,0.521033802121885,0,5.0,1064.294631710362,0.8571428571428571,0.6,3,2
6,BID_6_4,Government,15.18,High,8,Defense,10,4086,46,8,4,3,0.704,2026-08-01,2026-10-01,5,0.6886343449296817,0,4.0,3715.1248164464023,0.17391304347826086,0.704,3,3
7,BID_7_0,Commercial,11.23,Low,5,Emergency Response,9,4450,47,1,9,5,0.805,2026-07-11,2026-07-25,2,0.45623979912115514,0,2.0,2523.5955056179773,0.10638297872340426,0.7245,1,1
7,BID_7_1,Commercial,15.93,Low,5,ISS Resupply,10,2026,110,2,10,15,0.824,2026-07-11,2026-07-25,2,0.545,1,1.0,7862.783810463969,0.045454545454545456,0.824,1,1
8,BID_8_0,Emergency,34.39,Critical,10,Technology Demonstration,9,4382,87,7,6,15,0.73,2026-12-15,2027-01-01,2,0.9299999999999999,1,1.0,7848.014605203103,0.11494252873563218,0.657,4,4
8,BID_8_1,Research,12.3,High,8,Weather Monitoring,8,2690,25,1,8,39,1.0,2026-12-15,2027-01-01,2,0.5744155277697005,0,2.0,4572.490706319702,0.32,0.8,3,2
9,BID_9_0,Research,13.74,Medium,7,Weather Monitoring,6,2959,24,4,6,18,0.727,2026-03-10,2026-05-24,2,0.48207301720520357,0,2.0,4643.46062859074,0.2916666666666667,0.4362,2,2
9,BID_9_1,Military,47.66,Low,8,Technology Demonstration,10,4433,9,8,2,8,0.659,2026-03-10,2026-05-24,2,0.7050000000000001,1,1.0,10751.184299571396,0.8888888888888888,0.659,1,5
10,BID_10_0,Government,13.92,Low,7,Technology Demonstration,6,2908,59,10,8,16,0.932,2026-11-11,2026-12-07,2,0.6349999999999999,1,1.0,4786.7950481430535,0.11864406779661017,0.5592,1,3
10,BID_10_1,Commercial,11.51,Low,1,Earth Observation,7,461,7,6,3,40,1.0,2026-11-11,2026-12-07,2,0.4667169540229885,0,2.0,24967.462039045553,0.14285714285714285,0.7,1,1
11,BID_11_0,Emergency,20.43,Critical,10,Satellite Deployment,5,716,45,6,6,37,1.0,2026-09-15,2026-12-01,3,0.791783338612607,0,2.0,28533.519553072627,0.2222222222222222,0.5,4,4
11,BID_11_1,Emergency,31.57,Critical,8,Satellite Deployment,7,3087,17,7,4,42,0.951,2026-09-15,2026-12-01,3,0.88,1,1.0,10226.757369614512,0.47058823529411764,0.6657,4,4
11,BID_11_2,Military,30.7,Medium,9,Technology Demonstration,10,1366,67,7,7,1,0.564,2026-09-15,2026-12-01,3,0.7581105479885968,0,3.0,22474.37774524158,0.13432835820895522,0.564,2,5
12,BID_12_0,Government,20.85,Medium,6,ISS Resupply,8,417,127,7,8,22,0.812,2026-08-30,2026-10-07,4,0.6052689979825151,0,2.0,50000.0,0.047244094488188976,0.6496000000000001,2,3
12,BID_12_1,Research,12.63,Low,4,Satellite Deployment,10,1682,109,6,5,4,0.83,2026-08-30,2026-10-07,4,0.4461701412239409,0,4.0,7508.917954815695,0.03669724770642202,0.83,1,2
12,BID_12_2,Government,29.74,High,7,Defense,8,4492,91,6,5,11,0.784,2026-08-30,2026-10-07,4,0.7800000000000001,1,1.0,6620.6589492430985,0.07692307692307693,0.6272000000000001,3,3
